Season,Phase,Round,Gamecode,Team,Quarter1,Quarter2,Quarter3,Quarter4,Extra1,Extra2
2024,RS,1,1,ALBA BERLIN,17,19,21,20,,
2024,RS,1,1,PANATHINAIKOS AKTOR ATHENS,26,19,17,25,,
2024,RS,1,2,AS MONACO,22,25,19,27,,
2024,RS,1,2,EA7 EMPORIO ARMANI MILAN,10,16,23,31,,
2024,RS,1,3,ZALGIRIS KAUNAS,21,22,7,24,,
2024,RS,1,3,FC BARCELONA,14,17,17,19,,
2024,RS,1,4,BASKONIA VITORIA-GASTEIZ,16,16,27,29,,
2024,RS,1,4,PARTIZAN MOZZART BET BELGRADE,17,21,22,22,,
2024,RS,1,5,FC BAYERN MUNICH,26,26,12,33,,
2024,RS,1,5,REAL MADRID,29,22,22,16,,
2024,RS,1,6,MACCABI PLAYTIKA TEL AVIV,24,27,20,18,,
2024,RS,1,6,LDLC ASVEL VILLEURBANNE,31,21,19,11,,
2024,RS,1,7,FENERBAHCE BEKO ISTANBUL,17,15,25,25,,
2024,RS,1,7,OLYMPIACOS PIRAEUS,13,23,20,15,,
2024,RS,1,8,PARIS BASKETBALL,18,25,15,19,,
2024,RS,1,8,CRVENA ZVEZDA MERIDIANBET BELGRADE,17,18,23,22,,
2024,RS,1,9,VIRTUS SEGAFREDO BOLOGNA,21,15,16,15,,
2024,RS,1,9,ANADOLU EFES ISTANBUL,15,21,15,25,,
2024,RS,2,10,AS MONACO,21,20,24,20,,
2024,RS,2,10,MACCABI PLAYTIKA TEL AVIV,23,23,14,19,,
2024,RS,2,11,CRVENA ZVEZDA MERIDIANBET BELGRADE,25,17,17,19,,
2024,RS,2,11,BASKONIA VITORIA-GASTEIZ,20,14,15,22,,
2024,RS,2,12,ANADOLU EFES ISTANBUL,21,16,14,27,,
2024,RS,2,12,FENERBAHCE BEKO ISTANBUL,27,19,14,23,,
2024,RS,2,13,LDLC ASVEL VILLEURBANNE,38,19,16,14,,
2024,RS,2,13,VIRTUS SEGAFREDO BOLOGNA,27,22,21,15,,
2024,RS,2,14,PANATHINAIKOS AKTOR ATHENS,25,22,19,28,,
2024,RS,2,14,FC BAYERN MUNICH,16,18,24,21,,
2024,RS,2,15,REAL MADRID,24,26,18,25,,
2024,RS,2,15,PARTIZAN MOZZART BET BELGRADE,24,23,17,22,,
2024,RS,2,16,EA7 EMPORIO ARMANI MILAN,20,15,23,21,,
2024,RS,2,16,PARIS BASKETBALL,18,21,18,17,,
2024,RS,2,17,FC BARCELONA,19,24,20,25,,
2024,RS,2,17,ALBA BERLIN,16,21,17,19,,
2024,RS,2,18,OLYMPIACOS PIRAEUS,21,14,17,22,,
2024,RS,2,18,ZALGIRIS KAUNAS,6,18,19,25,,
2024,RS,3,19,ALBA BERLIN,20,16,28,20,,
2024,RS,3,19,LDLC ASVEL VILLEURBANNE,13,23,18,25,,
2024,RS,3,20,FENERBAHCE BEKO ISTANBUL,12,19,11,15,,
2024,RS,3,20,CRVENA ZVEZDA MERIDIANBET BELGRADE,26,12,16,22,,
2024,RS,3,21,OLYMPIACOS PIRAEUS,23,16,24,26,,
2024,RS,3,21,EA7 EMPORIO ARMANI MILAN,17,10,21,20,,
2024,RS,3,22,BASKONIA VITORIA-GASTEIZ,16,20,12,28,,
2024,RS,3,22,REAL MADRID,18,17,17,20,,
2024,RS,3,23,PARIS BASKETBALL,21,24,24,15,,
2024,RS,3,23,PANATHINAIKOS AKTOR ATHENS,19,20,20,21,,
2024,RS,3,24,VIRTUS SEGAFREDO BOLOGNA,15,15,22,16,,
2024,RS,3,24,ZALGIRIS KAUNAS,16,28,16,11,,
2024,RS,3,25,FC BARCELONA,26,21,24,15,,
2024,RS,3,25,AS MONACO,18,21,15,17,,
2024,RS,3,26,PARTIZAN MOZZART BET BELGRADE,24,25,22,15,,
2024,RS,3,26,FC BAYERN MUNICH,15,17,20,26,,
2024,RS,3,27,MACCABI PLAYTIKA TEL AVIV,23,29,20,21,,
2024,RS,3,27,ANADOLU EFES ISTANBUL,24,28,22,17,,
2024,RS,4,28,ALBA BERLIN,16,15,16,24,,
2024,RS,4,28,FENERBAHCE BEKO ISTANBUL,15,23,20,20,,
2024,RS,4,29,EA7 EMPORIO ARMANI MILAN,24,25,17,16,,
2024,RS,4,29,ZALGIRIS KAUNAS,17,14,17,37,,
2024,RS,4,30,FC BAYERN MUNICH,24,30,27,28,,
2024,RS,4,30,PARIS BASKETBALL,21,26,31,29,,
2024,RS,4,31,REAL MADRID,28,15,27,20,,
2024,RS,4,31,PANATHINAIKOS AKTOR ATHENS,19,19,20,28,,
2024,RS,4,32,MACCABI PLAYTIKA TEL AVIV,27,19,18,15,,
2024,RS,4,32,PARTIZAN MOZZART BET BELGRADE,28,14,24,25,,
2024,RS,4,33,AS MONACO,20,26,25,30,,
2024,RS,4,33,VIRTUS SEGAFREDO BOLOGNA,24,23,17,21,,
2024,RS,4,34,ANADOLU EFES ISTANBUL,11,30,24,26,,
2024,RS,4,34,OLYMPIACOS PIRAEUS,23,21,26,19,,
2024,RS,4,35,CRVENA ZVEZDA MERIDIANBET BELGRADE,25,22,19,18,10.0,
2024,RS,4,35,FC BARCELONA,26,18,19,21,14.0,
2024,RS,4,36,LDLC ASVEL VILLEURBANNE,20,18,15,23,,
2024,RS,4,36,BASKONIA VITORIA-GASTEIZ,12,14,28,15,,
2024,RS,5,37,PARTIZAN MOZZART BET BELGRADE,20,17,24,8,,
2024,RS,5,37,VIRTUS SEGAFREDO BOLOGNA,15,17,25,13,,
2024,RS,5,38,AS MONACO,22,21,21,16,,
2024,RS,5,38,PARIS BASKETBALL,25,24,14,24,,
2024,RS,5,39,ZALGIRIS KAUNAS,26,18,15,19,,
2024,RS,5,39,MACCABI PLAYTIKA TEL AVIV,7,17,22,17,,
2024,RS,5,40,EA7 EMPORIO ARMANI MILAN,11,14,34,25,,
2024,RS,5,40,ANADOLU EFES ISTANBUL,23,23,20,30,,
2024,RS,5,41,BASKONIA VITORIA-GASTEIZ,24,15,24,17,,
2024,RS,5,41,ALBA BERLIN,13,13,14,17,,
2024,RS,5,42,REAL MADRID,22,24,25,24,,
2024,RS,5,42,CRVENA ZVEZDA MERIDIANBET BELGRADE,10,19,25,18,,
2024,RS,5,43,FENERBAHCE BEKO ISTANBUL,15,20,19,22,,
2024,RS,5,43,PANATHINAIKOS AKTOR ATHENS,21,25,16,19,,
2024,RS,5,44,FC BARCELONA,17,26,26,21,,
2024,RS,5,44,LDLC ASVEL VILLEURBANNE,20,24,25,14,,
2024,RS,5,45,FC BAYERN MUNICH,20,12,27,25,,
2024,RS,5,45,OLYMPIACOS PIRAEUS,19,24,18,19,,
2024,RS,6,46,ANADOLU EFES ISTANBUL,26,25,15,22,,
2024,RS,6,46,FC BARCELONA,29,26,21,21,,
2024,RS,6,47,FENERBAHCE BEKO ISTANBUL,16,22,20,26,,
2024,RS,6,47,MACCABI PLAYTIKA TEL AVIV,21,19,27,15,,
2024,RS,6,48,ZALGIRIS KAUNAS,24,23,19,20,,
2024,RS,6,48,CRVENA ZVEZDA MERIDIANBET BELGRADE,18,15,24,27,,
2024,RS,6,49,ALBA BERLIN,26,18,19,20,,
2024,RS,6,49,PARIS BASKETBALL,16,21,28,27,,
2024,RS,6,50,OLYMPIACOS PIRAEUS,17,19,20,23,,
2024,RS,6,50,REAL MADRID,21,13,25,10,,
2024,RS,6,51,PANATHINAIKOS AKTOR ATHENS,27,18,25,22,,
2024,RS,6,51,LDLC ASVEL VILLEURBANNE,14,15,23,16,,
2024,RS,6,52,BASKONIA VITORIA-GASTEIZ,20,32,15,21,,
2024,RS,6,52,EA7 EMPORIO ARMANI MILAN,21,24,18,20,,
2024,RS,6,53,PARTIZAN MOZZART BET BELGRADE,21,12,23,18,,
2024,RS,6,53,AS MONACO,23,23,15,18,,
2024,RS,6,54,VIRTUS SEGAFREDO BOLOGNA,25,8,27,24,,
2024,RS,6,54,FC BAYERN MUNICH,19,21,28,19,,
2024,RS,7,55,ALBA BERLIN,19,16,17,18,,
2024,RS,7,55,ANADOLU EFES ISTANBUL,25,26,17,18,,
2024,RS,7,56,OLYMPIACOS PIRAEUS,21,23,21,30,,
2024,RS,7,56,FC BARCELONA,17,19,14,24,,
2024,RS,7,57,EA7 EMPORIO ARMANI MILAN,21,23,22,33,,
2024,RS,7,57,VIRTUS SEGAFREDO BOLOGNA,14,21,32,23,,
2024,RS,7,58,MACCABI PLAYTIKA TEL AVIV,21,15,19,24,,
2024,RS,7,58,REAL MADRID,23,20,21,14,,
2024,RS,7,59,FENERBAHCE BEKO ISTANBUL,22,22,23,22,,
2024,RS,7,59,PARTIZAN MOZZART BET BELGRADE,15,16,22,19,,
2024,RS,7,60,ZALGIRIS KAUNAS,20,14,9,20,,
2024,RS,7,60,AS MONACO,11,14,18,19,,
2024,RS,7,61,CRVENA ZVEZDA MERIDIANBET BELGRADE,18,28,12,19,,
2024,RS,7,61,PANATHINAIKOS AKTOR ATHENS,18,20,17,26,,
2024,RS,7,62,LDLC ASVEL VILLEURBANNE,17,16,16,22,,
2024,RS,7,62,FC BAYERN MUNICH,19,24,21,20,,
2024,RS,7,63,PARIS BASKETBALL,18,20,19,10,,
2024,RS,7,63,BASKONIA VITORIA-GASTEIZ,16,19,13,17,,
2024,RS,8,64,ANADOLU EFES ISTANBUL,23,18,18,10,,
2024,RS,8,64,AS MONACO,22,14,16,29,,
2024,RS,8,65,CRVENA ZVEZDA MERIDIANBET BELGRADE,23,18,22,29,,
2024,RS,8,65,ALBA BERLIN,14,18,18,21,,
2024,RS,8,66,EA7 EMPORIO ARMANI MILAN,24,23,15,23,,
2024,RS,8,66,REAL MADRID,16,24,15,21,,
2024,RS,8,67,FC BAYERN MUNICH,19,19,20,19,,
2024,RS,8,67,ZALGIRIS KAUNAS,7,21,19,27,,
2024,RS,8,68,PARIS BASKETBALL,21,16,19,18,,
2024,RS,8,68,PARTIZAN MOZZART BET BELGRADE,16,19,22,14,,
2024,RS,8,69,LDLC ASVEL VILLEURBANNE,19,17,16,21,,
2024,RS,8,69,FENERBAHCE BEKO ISTANBUL,15,18,18,26,,
2024,RS,8,70,PANATHINAIKOS AKTOR ATHENS,15,18,33,23,,
2024,RS,8,70,OLYMPIACOS PIRAEUS,20,21,30,23,,
2024,RS,8,71,FC BARCELONA,26,18,18,29,,
2024,RS,8,71,BASKONIA VITORIA-GASTEIZ,17,16,18,17,,
2024,RS,8,72,VIRTUS SEGAFREDO BOLOGNA,25,20,15,24,,
2024,RS,8,72,MACCABI PLAYTIKA TEL AVIV,17,22,16,22,,
2024,RS,9,73,FENERBAHCE BEKO ISTANBUL,13,22,32,20,,
2024,RS,9,73,FC BAYERN MUNICH,21,9,28,18,,
2024,RS,9,74,AS MONACO,26,28,20,16,,
2024,RS,9,74,CRVENA ZVEZDA MERIDIANBET BELGRADE,26,22,26,24,,
2024,RS,9,75,ALBA BERLIN,19,24,26,23,13.0,
2024,RS,9,75,EA7 EMPORIO ARMANI MILAN,23,32,22,15,9.0,
2024,RS,9,76,OLYMPIACOS PIRAEUS,24,18,29,23,,
2024,RS,9,76,LDLC ASVEL VILLEURBANNE,29,21,23,19,,
2024,RS,9,77,PANATHINAIKOS AKTOR ATHENS,21,16,23,33,,
2024,RS,9,77,MACCABI PLAYTIKA TEL AVIV,25,22,16,24,,
2024,RS,9,78,BASKONIA VITORIA-GASTEIZ,21,18,24,21,,
2024,RS,9,78,ANADOLU EFES ISTANBUL,24,22,19,24,,
2024,RS,9,79,REAL MADRID,28,25,27,18,,
2024,RS,9,79,VIRTUS SEGAFREDO BOLOGNA,25,24,18,19,,
2024,RS,9,80,PARTIZAN MOZZART BET BELGRADE,23,12,23,21,,
2024,RS,9,80,FC BARCELONA,19,30,21,17,,
2024,RS,9,81,PARIS BASKETBALL,17,23,22,21,,
2024,RS,9,81,ZALGIRIS KAUNAS,16,20,20,21,,
2024,RS,10,82,LDLC ASVEL VILLEURBANNE,24,19,15,19,,
2024,RS,10,82,CRVENA ZVEZDA MERIDIANBET BELGRADE,20,12,19,23,,
2024,RS,10,83,BASKONIA VITORIA-GASTEIZ,7,17,31,20,,
2024,RS,10,83,AS MONACO,24,23,14,26,,
2024,RS,10,84,FC BAYERN MUNICH,28,34,34,19,,
2024,RS,10,84,ALBA BERLIN,27,17,14,30,,
2024,RS,10,85,REAL MADRID,6,19,24,15,,
2024,RS,10,85,ANADOLU EFES ISTANBUL,19,28,11,16,,
2024,RS,10,86,MACCABI PLAYTIKA TEL AVIV,24,29,10,28,,
2024,RS,10,86,OLYMPIACOS PIRAEUS,29,13,28,24,,
2024,RS,10,87,ZALGIRIS KAUNAS,21,5,21,18,,
2024,RS,10,87,FENERBAHCE BEKO ISTANBUL,17,26,9,20,,
2024,RS,10,88,FC BARCELONA,18,30,22,17,,
2024,RS,10,88,PARIS BASKETBALL,31,14,28,30,,
2024,RS,10,89,PARTIZAN MOZZART BET BELGRADE,22,20,23,16,,
2024,RS,10,89,EA7 EMPORIO ARMANI MILAN,19,19,26,24,,
2024,RS,10,90,VIRTUS SEGAFREDO BOLOGNA,18,25,15,19,,
2024,RS,10,90,PANATHINAIKOS AKTOR ATHENS,19,27,14,22,,
2024,RS,11,91,VIRTUS SEGAFREDO BOLOGNA,22,16,23,21,,
