playerRanking,gamesPlayed,gamesStarted,wins,losses,minutesPlayed,doubleDoubles,tripleDoubles,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,144.0,26.0,42.0,102.0,13.479398148148148,0.0,0.0,007025,"MATTISSECK, JONAS",24,https://media-cdn.incrowdsports.com/f233c467-32fb-41af-807b-07660af5fa2c.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
2,154.0,35.0,114.0,40.0,9.431385281385282,0.0,0.0,004941,"ANTONOV, SEMEN",32,https://media-cdn.incrowdsports.com/5fd80688-4e9c-434c-b051-1471ccdcb625.png,CSK,CSK,CSKA Moscow,https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png
3,164.0,22.0,92.0,72.0,8.821747967479675,0.0,0.0,003521,"BALBAY, DOGUS",33,https://media-cdn.incrowdsports.com/0a0748cc-b881-47d6-a8ff-19a51b692cb0.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
4,224.0,121.0,92.0,132.0,17.80892857142857,0.0,0.0,LUO,"LAZIC, BRANKO",35,https://media-cdn.incrowdsports.com/6dcc04d5-821e-4113-a665-029a43d76425.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
5,195.0,36.0,113.0,82.0,11.303675213675215,0.0,0.0,002969,"MAHMUTOGLU, MELIH",34,https://media-cdn.incrowdsports.com/a148a3b5-02f1-4122-90ba-04714df78433.png,ULK,FNB,Fenerbahce Beko Istanbul,https://media-cdn.incrowdsports.com/0233ebbb-f3a2-49ea-837c-7fd3e661e672.png
6,157.0,53.0,83.0,74.0,10.05488322717622,0.0,0.0,005145,"COHEN, JAKE",34,https://media-cdn.incrowdsports.com/e8d3f0dc-cce9-4329-9d5b-03c76519199d.png,TEL,MTA,Maccabi Playtika Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
7,141.0,21.0,37.0,104.0,13.411111111111111,0.0,0.0,006251,"SCHNEIDER, TIM",27,https://media-cdn.incrowdsports.com/3c4d48d7-a0e1-4375-9246-2d9fc7bf969a.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
8,129.0,34.0,36.0,93.0,13.845219638242893,0.0,0.0,008211,"DELOW, MALTE",23,https://media-cdn.incrowdsports.com/4402c134-97e3-485e-ac5d-ea9bdb7bba28.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
9,172.0,36.0,87.0,85.0,10.390600775193798,2.0,0.0,003540,"DIOP, ILIMANE",25,https://media-cdn.incrowdsports.com/06ba4860-2029-41d9-af38-d7c646068cfc.png,BAS,TDS,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
10,202.0,106.0,133.0,69.0,16.755940594059403,0.0,0.0,006546,"TAYLOR, JEFFERY",32,https://media-cdn.incrowdsports.com/10410890-e74a-4866-9d92-997cd1821ed9.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
11,125.0,49.0,47.0,78.0,16.58053333333333,0.0,0.0,BFX,"MONIA, SERGEY",37,https://media-cdn.incrowdsports.com/d3e66f80-1885-4da3-bf68-0282f1611f82.png,KHI,KHI,BC Khimki,https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png
12,209.0,26.0,101.0,108.0,13.698405103668263,0.0,0.0,007990,"DIBARTOLOMEO, JOHN",33,https://media-cdn.incrowdsports.com/d849757d-0a4d-47b8-82aa-ddca5eb1f7bc.png,TEL,MTA,Maccabi Playtika Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
