playerRanking,gamesPlayed,gamesStarted,twoPointAttemptsShare,threePointAttemptsShare,freeThrowsAttemptsShare,twoPointersMadeShare,threePointersMadeShare,freeThrowsMadeShare,twoPointRate,threePointRate,pointsFromTwoPointersPercentage,pointsFromThreePointersPercentage,pointsFromFreeThrowsPercentage,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,144.0,26.0,1.7%,8%,1.8%,1.3%,7.7%,2%,23.5%,76.5%,17.5%,74.5%,8%,007025,"MATTISSECK, JONAS",24,https://media-cdn.incrowdsports.com/f233c467-32fb-41af-807b-07660af5fa2c.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
2,154.0,35.0,2.8%,4%,1.8%,2.7%,3.8%,1.5%,52.4%,47.6%,45.5%,44.4%,10.1%,004941,"ANTONOV, SEMEN",32,https://media-cdn.incrowdsports.com/5fd80688-4e9c-434c-b051-1471ccdcb625.png,CSK,CSK,CSKA Moscow,https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png
3,164.0,22.0,2.4%,2.2%,0.9%,2%,2.2%,0.6%,62.5%,37.5%,55.2%,39.6%,5.2%,003521,"BALBAY, DOGUS",33,https://media-cdn.incrowdsports.com/0a0748cc-b881-47d6-a8ff-19a51b692cb0.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
4,224.0,121.0,3.4%,7.4%,3%,3.1%,7.6%,3.2%,43.3%,56.7%,35%,52%,13%,LUO,"LAZIC, BRANKO",35,https://media-cdn.incrowdsports.com/6dcc04d5-821e-4113-a665-029a43d76425.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
5,195.0,36.0,3.1%,10.7%,1.9%,2.8%,11%,2.1%,30.9%,69.1%,25.7%,68.1%,6.3%,002969,"MAHMUTOGLU, MELIH",34,https://media-cdn.incrowdsports.com/a148a3b5-02f1-4122-90ba-04714df78433.png,ULK,FNB,Fenerbahce Beko Istanbul,https://media-cdn.incrowdsports.com/0233ebbb-f3a2-49ea-837c-7fd3e661e672.png
6,157.0,53.0,3.7%,4.1%,2.7%,3.6%,4.3%,2.8%,60.1%,39.9%,51.4%,36.4%,12.1%,005145,"COHEN, JAKE",34,https://media-cdn.incrowdsports.com/e8d3f0dc-cce9-4329-9d5b-03c76519199d.png,TEL,MTA,Maccabi Playtika Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
7,141.0,21.0,3.9%,7.8%,3.3%,3.9%,7%,2.7%,41.9%,58.1%,39.8%,51.9%,8.3%,006251,"SCHNEIDER, TIM",27,https://media-cdn.incrowdsports.com/3c4d48d7-a0e1-4375-9246-2d9fc7bf969a.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
8,129.0,34.0,4.6%,5.8%,3%,4.5%,5.5%,3%,53.2%,46.8%,48.5%,41.8%,9.7%,008211,"DELOW, MALTE",23,https://media-cdn.incrowdsports.com/4402c134-97e3-485e-ac5d-ea9bdb7bba28.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
9,172.0,36.0,4.8%,1.4%,6.8%,4.9%,1.1%,6.9%,84.9%,15.1%,62.2%,8.6%,29.1%,003540,"DIOP, ILIMANE",25,https://media-cdn.incrowdsports.com/06ba4860-2029-41d9-af38-d7c646068cfc.png,BAS,TDS,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
10,202.0,106.0,5.3%,6.6%,4.5%,5.3%,6.7%,4%,51.1%,48.9%,44.8%,43.2%,12%,006546,"TAYLOR, JEFFERY",32,https://media-cdn.incrowdsports.com/10410890-e74a-4866-9d92-997cd1821ed9.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
11,125.0,49.0,2.8%,9.7%,1%,2.3%,11%,1.1%,27.3%,72.7%,20.4%,76.2%,3.5%,BFX,"MONIA, SERGEY",37,https://media-cdn.incrowdsports.com/d3e66f80-1885-4da3-bf68-0282f1611f82.png,KHI,KHI,BC Khimki,https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png
12,209.0,26.0,2.6%,11.4%,4.9%,2.1%,11.9%,5.9%,28.5%,71.5%,19.5%,63.3%,17.2%,007990,"DIBARTOLOMEO, JOHN",33,https://media-cdn.incrowdsports.com/d849757d-0a4d-47b8-82aa-ddca5eb1f7bc.png,TEL,MTA,Maccabi Playtika Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
13,151.0,63.0,6.1%,10.5%,5.9%,5.5%,9.9%,6.5%,50.9%,49.1%,41.6%,42.6%,15.7%,KIR,"KAHUDI, CHARLES",38,https://media-cdn.incrowdsports.com/09c42084-be1d-4b65-b880-9544effea93a.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
14,179.0,115.0,9.7%,1.5%,7.1%,9.8%,1.1%,6.3%,92.1%,7.9%,77.7%,5.4%,16.9%,LEM,"RADOSEVIC, LEON",31,https://media-cdn.incrowdsports.com/f2672ef8-4d0b-4018-b5a3-3ef671903ef7.png,BAM;MUN,BRO;BAY,Bamberger Basketball GmbH;FC Bayern Munich,https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png;https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
15,152.0,76.0,6.3%,14.3%,6.6%,5.9%,14.7%,6.9%,36.1%,63.9%,29.9%,58%,12%,004761,"MARINKOVIC, VANJA",27,https://media-cdn.incrowdsports.com/fd848082-f689-47f0-a578-a53d63a6fd1b.png,PAM;BAS;PAR,VBC;BKN;PAR,Valencia Basket;Baskonia Vitoria-Gasteiz;Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/efd12730-f2ea-4830-9caa-7f2f676079c2.png;https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png;https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
