playerRanking,gamesPlayed,minutesPlayed,effectiveFieldGoalPercentage,trueShootingPercentage,offensiveReboundsPercentage,defensiveReboundsPercentage,reboundsPercentage,assistsToTurnoversRatio,assistsRatio,turnoversRatio,twoPointAttemptsRatio,threePointAttemptsRatio,freeThrowsRate,possesions,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,15.0,3.8277777777777775,0%,0%,6.3%,18.3%,12.1%,0.0,0%,61%,20.3%,6.8%,100%,1.0,AQT,"PASCHALIS, KOSTAS",27.0,,AEK,AEK,AEK Athens,https://media-cdn.incrowdsports.com/b51b0af8-ac03-4093-8858-9b4d71830fe7.png
2,14.0,3.686904761904762,16.7%,16.7%,0%,7.7%,3.9%,0.0,0%,20%,73.3%,6.7%,0%,1.1,JSE,"PAVIC, IVAN",26.0,,BAM,BRO,Bamberger Basketball GmbH,https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png
3,5.0,16.633333333333333,24.1%,27.4%,2.8%,5%,3.8%,0.4,10.6%,27.5%,48.7%,8.5%,18.5%,9.4,KBJ,"DEANE, WILLIE",28.0,,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
4,9.0,12.894444444444444,25%,25.4%,6.9%,7.1%,7%,0.3,10.8%,39.6%,28.8%,14.4%,33.3%,3.1,001909,"HAIN, DANIEL",24.0,,OLD,EWE,Baskets Oldenburg,https://media-cdn.incrowdsports.com/0d6914cd-717b-477d-b286-69213c7de3b0.png
5,6.0,9.6,40%,34%,0%,6.9%,3.3%,0.0,0%,54.3%,38.8%,0%,40%,2.1,AKF,"THIRY, BERNARD",28.0,,CHA,CHA,Spirou Charleroi,https://media-cdn.incrowdsports.com/fe2c3484-72ab-463e-bda7-587b5e980e37.png
6,17.0,4.085294117647059,27.8%,37.2%,7.8%,13.4%,10.5%,0.1,3%,32.8%,53.7%,0%,44.4%,2.0,006360,"KLIMENKO, ARTEM",27.0,https://media-cdn.incrowdsports.com/3336f5c5-bc0e-4e53-8348-52c5454dc3bd.png,UNK,UNK,UNICS Kazan,https://media-cdn.incrowdsports.com/70b00b96-e98a-42ba-9997-39d70a895157.png
6,3.0,6.416666666666667,0%,0%,0%,6%,3.4%,0.0,0%,71.4%,14.3%,14.3%,0%,2.3,JIQ,"NAVICKAS, GEDIMINAS",39.0,,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
8,4.0,13.458333333333334,22.7%,29.3%,0%,2%,1%,0.8,20.3%,24.4%,32.5%,12.2%,54.5%,6.2,003064,"ELDRIDGE, COURTNEY",30.0,,SOP,PRO,Arka Gdynia,https://media-cdn.incrowdsports.com/210fa2fa-3529-400d-8d3f-9174a22ad1a8.png
9,11.0,2.783333333333333,40%,40%,0%,12%,6.4%,0.0,0%,37.5%,62.5%,0%,0%,0.7,CPF,"KAFKIS, PANAGIOTIS",27.0,,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
10,7.0,11.55952380952381,16.7%,15.7%,0%,4.7%,2.4%,1.3,26.8%,20.1%,16.7%,33.5%,13.3%,4.3,AYB,"ADAMEK, ANDRZEJ",29.0,,WRO,WKS,WKS Slask Wroclaw,https://media-cdn.incrowdsports.com/0415061b-5374-4a0d-bc04-8fcbc8ad0bb3.png
10,4.0,4.0,0%,0%,0%,0%,0%,0.0,0%,66.7%,33.3%,0%,0%,0.8,JKK,"ILUNGA, OLIVIER",20.0,,TRE,TRE,Benetton Basket Treviso,https://media-cdn.incrowdsports.com/0636c1b0-de3e-4ca9-bd2c-e30a4f485114.png
10,9.0,19.694444444444443,19.8%,25.6%,5.2%,7.8%,6.5%,0.2,1.9%,9.4%,34%,47.2%,20.9%,5.9,BOE,"MATINEN, JUKKA",26.0,,FRA,FRA,Skyliners Frankfurt,https://media-cdn.incrowdsports.com/75c69af8-9cf4-498d-932e-0b28be2444df.png
10,13.0,5.596153846153846,19.4%,24.2%,3.6%,1.7%,2.7%,0.5,7.5%,15%,30%,37.5%,33.3%,2.0,JLP,"SANCHEZ, ALFONSO",21.0,,MAL,UNI,Unicaja Malaga,https://media-cdn.incrowdsports.com/6342214b-684b-421f-8960-5d20354458da.png
10,11.0,10.304545454545455,42.9%,41.6%,3.3%,8.5%,5.8%,0.6,15.7%,27.5%,39.3%,15.7%,7.1%,2.3,AVP,"VAN DE VONDEL, THOMAS",21.0,,CHA,CHA,Spirou Charleroi,https://media-cdn.incrowdsports.com/fe2c3484-72ab-463e-bda7-587b5e980e37.png
15,6.0,6.419444444444444,42.9%,44.4%,0%,11.9%,6.4%,0.0,0%,50.4%,44.1%,0%,28.6%,2.6,003331,"ARMSTRONG, HILTON",28.0,,PAN,PAN,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
