playerRanking,gamesPlayed,minutesPlayed,effectiveFieldGoalPercentage,trueShootingPercentage,offensiveReboundsPercentage,defensiveReboundsPercentage,reboundsPercentage,assistsToTurnoversRatio,assistsRatio,turnoversRatio,twoPointAttemptsRatio,threePointAttemptsRatio,freeThrowsRate,possesions,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,70.0,6.75547619047619,32.9%,37%,3.2%,3.7%,3.4%,1.8,29%,16.2%,16.2%,33%,25.9%,2.5,007265,"KURUCS, ARTURS",22,https://media-cdn.incrowdsports.com/b98c88da-6556-46e0-981a-106d466b7a22.png,BAS,TDS,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
2,78.0,12.735683760683761,47.7%,49.9%,1.1%,9.5%,5.4%,0.8,16.6%,20.9%,31.4%,21.4%,41.4%,2.7,AWH,"ABI, MUSTAFA",29,,ULK;IST,ULK;EFS,Fenerbahce Beko Istanbul;Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/0233ebbb-f3a2-49ea-837c-7fd3e661e672.png;https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
3,122.0,11.394262295081967,49%,51.4%,2.9%,8.2%,5.4%,1.0,19.2%,18.6%,13.2%,44.3%,18.2%,4.2,JJY,"BOZIC, PETAR",33,,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
4,45.0,9.455185185185185,50.8%,51.5%,6%,9.5%,7.7%,0.6,9.5%,16.4%,34.4%,34.4%,16.9%,4.2,AQX,"SCHULTZE, SVEN",34,,MIL;BER,MIL;BER,EA7 Emporio Armani Milan;ALBA Berlin,https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png;https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
5,105.0,13.341111111111111,50.8%,52%,4.2%,8.3%,6.2%,1.1,8.9%,8.2%,24.5%,52.8%,16.5%,3.7,004170,"BATUK, BIRKAN",28,https://media-cdn.incrowdsports.com/a0a94e47-8163-45c3-8ec7-3a147df45609.png,DAR;IST,DDI;EFS,Darussafaka Basketbol;Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/9ceb124a-7ee1-4db5-8d8c-7d485980b989.png;https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
6,113.0,21.329646017699115,47.2%,50.8%,1.7%,7.9%,4.7%,0.7,9.9%,13.6%,28.1%,42.7%,18.6%,11.0,BFB,"TRIPKOVIC, UROS",26,,PAR;MAL;ULK,PAR;UNI;FBU,Partizan Mozzart Bet Belgrade;Unicaja Malaga;Fenerbahce Beko Istanbul,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png;https://media-cdn.incrowdsports.com/6342214b-684b-421f-8960-5d20354458da.png;https://media-cdn.incrowdsports.com/0233ebbb-f3a2-49ea-837c-7fd3e661e672.png
7,55.0,14.185454545454546,49.3%,50.6%,3.8%,15.6%,9.5%,0.3,6.1%,18.8%,28.7%,43.4%,9.3%,5.7,JKN,"GABINI, ROBERTO",33,,BAS;ROM,BKN;ROM,Baskonia Vitoria-Gasteiz;Pallacanestro Virtus Roma,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png;https://media-cdn.incrowdsports.com/e5836b62-9939-4063-b5e5-cc2f5804c142.png
8,75.0,9.325111111111111,43%,47.6%,1.1%,7.8%,4.4%,1.4,19.5%,13.5%,39.1%,21.7%,22.8%,4.2,005670,"FLACCADORI, DIEGO",28,https://media-cdn.incrowdsports.com/b64d6382-45ba-48e2-a646-3fcfc0f8f056.png,MUN;MIL,BAY;EA7,FC Bayern Munich;EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png;https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png
9,90.0,13.253518518518518,41.6%,46.2%,1.6%,5.3%,3.4%,1.9,33.1%,17.8%,21.3%,22.6%,27.3%,5.7,LKY,"KHVOSTOV, DMITRY",31,https://media-cdn.incrowdsports.com/409460e8-d94e-4f85-887d-9e72dbeb03bc.png,DYN;KHI;NOV;DYR,DYN;KHI;NIZ;ZEN,Dynamo Moscow;BC Khimki;BC Nizhny Novgorod;Zenit St Petersburg,https://media-cdn.incrowdsports.com/22ab0314-9deb-407c-97aa-4032f4017564.png;https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png;https://media-cdn.incrowdsports.com/dddcfb2d-29ff-4588-a297-654b4cd72c68.png;https://media-cdn.incrowdsports.com/4c571fd6-52f1-428c-94a5-9143fbbb4fe3.png
10,104.0,13.617467948717948,45.4%,48.7%,2.6%,8.6%,5.5%,0.9,14.4%,15.3%,38.3%,25.9%,21.6%,5.3,001389,"VORONOV, EVGENY",34,https://media-cdn.incrowdsports.com/5ea13ad3-ab46-462b-87e3-5155aec20269.png,CSK;TIV;UNK;DYR;KHI,CSK;LOK;UNK;ZEN;KHI,CSKA Moscow;Lokomotiv Kuban;UNICS Kazan;Zenit St Petersburg;BC Khimki,https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png;https://media-cdn.incrowdsports.com/21be1b6a-84bd-4e95-b685-f5d5e60e4a86.png;https://media-cdn.incrowdsports.com/70b00b96-e98a-42ba-9997-39d70a895157.png;https://media-cdn.incrowdsports.com/4c571fd6-52f1-428c-94a5-9143fbbb4fe3.png;https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png
