playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,70.0,4.0,6.75547619047619,1.0,0.1,0.4,14.3%,0.2,0.8,28.1%,0.2,0.3,63.6%,0.2,0.2,0.4,0.7,0.1,0.4,0.0,0.0,1.2,0.3,-0.1,007265,"KURUCS, ARTURS",22,https://media-cdn.incrowdsports.com/b98c88da-6556-46e0-981a-106d466b7a22.png,BAS,TDS,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
2,78.0,30.0,12.735683760683761,1.7,0.4,0.8,43.9%,0.2,0.6,35.6%,0.3,0.6,54.3%,0.1,0.9,1.1,0.4,0.3,0.6,0.0,0.1,2.1,0.7,0.3,AWH,"ABI, MUSTAFA",29,,ULK;IST,ULK;EFS,Fenerbahce Beko Istanbul;Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/0233ebbb-f3a2-49ea-837c-7fd3e661e672.png;https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
3,122.0,25.0,11.394262295081967,2.7,0.2,0.6,36.8%,0.7,1.9,35.1%,0.3,0.4,72.2%,0.3,0.7,1.0,0.8,0.5,0.8,0.1,0.1,2.7,0.7,0.6,JJY,"BOZIC, PETAR",33,,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
4,45.0,3.0,9.455185185185185,3.2,0.7,1.4,46.2%,0.5,1.4,36.9%,0.3,0.5,54.5%,0.5,0.7,1.2,0.4,0.2,0.7,0.0,0.1,2.3,0.7,0.8,AQX,"SCHULTZE, SVEN",34,,MIL;BER,MIL;BER,EA7 Emporio Armani Milan;ALBA Berlin,https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png;https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
5,55.0,1.0,5.666969696969697,1.3,0.5,0.9,52.1%,0.0,0.2,20%,0.3,0.5,55.6%,0.5,0.6,1.0,0.2,0.2,0.3,0.1,0.1,1.2,0.5,0.8,THY,"MILOSEVIC, STRAHINJA",24,,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
6,105.0,20.0,13.341111111111111,3.2,0.4,0.9,47.9%,0.7,2.0,34.8%,0.3,0.5,60%,0.5,0.9,1.4,0.3,0.4,0.3,0.0,0.2,2.4,0.6,1.1,004170,"BATUK, BIRKAN",28,https://media-cdn.incrowdsports.com/a0a94e47-8163-45c3-8ec7-3a147df45609.png,DAR;IST,DDI;EFS,Darussafaka Basketbol;Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/9ceb124a-7ee1-4db5-8d8c-7d485980b989.png;https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
7,75.0,12.0,9.325111111111111,2.7,0.7,1.7,42.7%,0.3,0.9,29%,0.5,0.6,81.8%,0.1,0.6,0.7,0.8,0.3,0.6,0.0,0.1,1.3,0.6,1.5,005670,"FLACCADORI, DIEGO",28,https://media-cdn.incrowdsports.com/b64d6382-45ba-48e2-a646-3fcfc0f8f056.png,MUN;MIL,BAY;EA7,FC Bayern Munich;EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png;https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png
8,111.0,11.0,10.425675675675675,2.9,0.5,1.1,47.5%,0.5,1.3,40.7%,0.3,0.3,77.8%,0.2,0.6,0.8,0.4,0.3,0.3,0.0,0.0,1.2,0.4,1.8,LMK,"CARRARETTO, MARCO",35,,SIE,MPS,Montepaschi Siena,https://media-cdn.incrowdsports.com/1d94a55f-b8c7-459c-951e-8177f5f3eebe.png
9,222.0,42.0,9.06981981981982,1.6,0.5,1.1,47.7%,0.1,0.5,30%,0.1,0.2,54.5%,0.4,0.7,1.1,0.9,0.5,0.4,0.1,0.1,1.4,0.5,1.8,003521,"BALBAY, DOGUS",33,https://media-cdn.incrowdsports.com/0a0748cc-b881-47d6-a8ff-19a51b692cb0.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
10,144.0,26.0,13.479398148148148,2.9,0.3,0.6,40.7%,0.7,2.1,35.4%,0.2,0.3,87.2%,0.3,0.7,0.9,0.7,0.4,0.4,0.0,0.1,1.8,0.9,1.8,007025,"MATTISSECK, JONAS",24,https://media-cdn.incrowdsports.com/f233c467-32fb-41af-807b-07660af5fa2c.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
