playerRanking,gamesPlayed,gamesStarted,twoPointAttemptsShare,threePointAttemptsShare,freeThrowsAttemptsShare,twoPointersMadeShare,threePointersMadeShare,freeThrowsMadeShare,twoPointRate,threePointRate,pointsFromTwoPointersPercentage,pointsFromThreePointersPercentage,pointsFromFreeThrowsPercentage,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,70.0,4.0,1.1%,3.1%,1.9%,0.3%,2.4%,1.6%,32.9%,67.1%,11.4%,68.6%,20%,007265,"KURUCS, ARTURS",22,https://media-cdn.incrowdsports.com/b98c88da-6556-46e0-981a-106d466b7a22.png,BAS,TDS,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
2,78.0,30.0,2.3%,2.9%,2.7%,1.9%,2.8%,2.1%,59.5%,40.5%,44.3%,36.6%,19.1%,AWH,"ABI, MUSTAFA",29,,ULK;IST,ULK;EFS,Fenerbahce Beko Istanbul;Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/0233ebbb-f3a2-49ea-837c-7fd3e661e672.png;https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
3,122.0,25.0,1.5%,9.1%,2%,1.2%,9.5%,1.9%,23%,77%,15.2%,72.9%,11.9%,JJY,"BOZIC, PETAR",33,,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
4,45.0,3.0,3.8%,7.3%,2.6%,3.6%,7.4%,1.9%,50%,50%,41.7%,50%,8.3%,AQX,"SCHULTZE, SVEN",34,,MIL;BER,MIL;BER,EA7 Emporio Armani Milan;ALBA Berlin,https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png;https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
5,55.0,1.0,2.5%,0.9%,2.2%,2.6%,0.5%,1.7%,82.8%,17.2%,70.4%,8.5%,21.1%,THY,"MILOSEVIC, STRAHINJA",24,,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
6,105.0,20.0,2.3%,8.9%,2.6%,2.2%,8.5%,2.1%,31.7%,68.3%,27.2%,63.9%,8.9%,004170,"BATUK, BIRKAN",28,https://media-cdn.incrowdsports.com/a0a94e47-8163-45c3-8ec7-3a147df45609.png,DAR;IST,DDI;EFS,Darussafaka Basketbol;Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/9ceb124a-7ee1-4db5-8d8c-7d485980b989.png;https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
7,75.0,12.0,4.4%,4.2%,3.4%,3.6%,3.3%,3.5%,64.2%,35.8%,52.5%,29.7%,17.8%,005670,"FLACCADORI, DIEGO",28,https://media-cdn.incrowdsports.com/b64d6382-45ba-48e2-a646-3fcfc0f8f056.png,MUN;MIL,BAY;EA7,FC Bayern Munich;EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png;https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png
8,111.0,11.0,2.8%,5.9%,1.6%,2.6%,6.3%,1.6%,44.9%,55.1%,35.3%,55.8%,8.8%,LMK,"CARRARETTO, MARCO",35,,SIE,MPS,Montepaschi Siena,https://media-cdn.incrowdsports.com/1d94a55f-b8c7-459c-951e-8177f5f3eebe.png
9,222.0,42.0,2.8%,2.1%,1.1%,2.5%,1.7%,0.8%,68.7%,31.3%,65.2%,28%,6.8%,003521,"BALBAY, DOGUS",33,https://media-cdn.incrowdsports.com/0a0748cc-b881-47d6-a8ff-19a51b692cb0.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
10,144.0,26.0,1.7%,8%,1.8%,1.3%,7.7%,2%,23.5%,76.5%,17.5%,74.5%,8%,007025,"MATTISSECK, JONAS",24,https://media-cdn.incrowdsports.com/f233c467-32fb-41af-807b-07660af5fa2c.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
11,44.0,14.0,1.5%,6.9%,3.2%,1.5%,5.9%,3.2%,33.3%,66.7%,26.4%,48.1%,25.5%,AGT,"BOUNTOURIS, NIKOLAOS",31,,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
12,71.0,12.0,2.3%,3.1%,2.2%,2.7%,2.5%,2.2%,52.6%,47.4%,50.3%,33.8%,15.9%,011209,"KALAITZAKIS, PANAGIOTIS",25,https://media-cdn.incrowdsports.com/59c8e70a-6d80-4d8c-9382-162194e226d0.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
13,55.0,25.0,4%,12.8%,1.7%,3.6%,13.3%,1.6%,39.8%,60.2%,34.5%,59.2%,6.3%,JKN,"GABINI, ROBERTO",33,,BAS;ROM,BKN;ROM,Baskonia Vitoria-Gasteiz;Pallacanestro Virtus Roma,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png;https://media-cdn.incrowdsports.com/e5836b62-9939-4063-b5e5-cc2f5804c142.png
