Season,Phase,Round,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2024,RS,1,1,51,PAN,P002328,"GRIGONIS, MARIUS",2FGA,Missed Two Pointer,0,-370,156,D,0,0,0,1,09:49,0,0,20241003164643
2024,RS,1,1,53,BER,P010791,"KOUMADJE, KHALIFA",2FGA,Missed Two Pointer,0,94,81,C,0,0,0,1,09:30,0,0,20241003164702
2024,RS,1,1,55,PAN,P003842,"LESSORT, MATHIAS",2FGM,Two Pointer,2,-56,501,F,0,0,0,1,09:20,0,2,20241003164712
2024,RS,1,1,62,PAN,P012774,"NUNN, KENDRICK",2FGM,Two Pointer,2,56,338,E,0,0,1,2,08:38,0,4,20241003164822
2024,RS,1,1,63,BER,P006919,"OLINDE, LOUIS",2FGM,Two Pointer,2,62,75,C,0,0,0,2,08:16,2,4,20241003164844
2024,RS,1,1,66,PAN,P007866,"MITOGLOU, KONSTANTINOS",3FGM,Three Pointer,3,683,138,I,0,0,0,3,07:46,2,7,20241003164906
2024,RS,1,1,68,BER,P006919,"OLINDE, LOUIS",3FGA,Missed Three Pointer,0,-420,589,H,0,0,0,3,07:29,2,7,20241003164923
2024,RS,1,1,74,BER,P006919,"OLINDE, LOUIS",3FGA,Missed Three Pointer,0,420,558,I,0,0,0,4,06:52,2,7,20241003165029
2024,RS,1,1,76,BER,P010791,"KOUMADJE, KHALIFA",2FGA,Missed Two Pointer,0,-62,69,B,0,0,0,4,06:45,2,7,20241003165037
2024,RS,1,1,78,PAN,P009622,"BROWN, LORENZO",2FGM,Two Pointer,2,414,119,E,0,0,0,4,06:34,2,9,20241003165047
2024,RS,1,1,84,BER,P007025,"MATTISSECK, JONAS",2FGM,Two Pointer,2,69,81,C,0,0,1,5,05:52,4,9,20241003165133
2024,RS,1,1,87,BER,P007025,"MATTISSECK, JONAS",FTM,Free Throw In,1,-1,-1, ,0,0,1,5,05:52,5,9,20241003165210
2024,RS,1,1,88,PAN,P009622,"BROWN, LORENZO",3FGA,Missed Three Pointer,0,-232,677,H,0,0,0,5,05:33,5,9,20241003165251
2024,RS,1,1,90,BER,P006919,"OLINDE, LOUIS",3FGA,Missed Three Pointer,0,382,583,I,0,0,0,5,05:25,5,9,20241003165259
2024,RS,1,1,94,BER,P011631,"RAPIEQUE, ELIAS",3FGA,Missed Three Pointer,0,414,577,I,0,0,0,5,05:18,5,9,20241003165325
2024,RS,1,1,102,PAN,P007866,"MITOGLOU, KONSTANTINOS",FTM,Free Throw In,1,-1,-1, ,0,0,0,5,05:08,5,10,20241003165415
2024,RS,1,1,104,PAN,P007866,"MITOGLOU, KONSTANTINOS",FTM,Free Throw In,1,-1,-1, ,0,0,0,5,05:08,5,11,20241003165429
2024,RS,1,1,106,BER,P012604,"WILLIAMS , TREVION",2FGA,Missed Two Pointer,0,407,6,E,0,0,0,6,04:44,5,11,20241003165456
2024,RS,1,1,115,PAN,P012774,"NUNN, KENDRICK",FTM,Free Throw In,1,-1,-1, ,0,0,0,6,04:38,5,12,20241003165711
2024,RS,1,1,116,PAN,P012774,"NUNN, KENDRICK",FTM,Free Throw In,1,-1,-1, ,0,0,0,6,04:38,5,13,20241003165723
2024,RS,1,1,117,BER,P008173,"SPAGNOLO, MATTEO",2FGM,Two Pointer,2,100,43,C,0,0,0,6,04:23,7,13,20241003165742
2024,RS,1,1,119,PAN,P003842,"LESSORT, MATHIAS",2FGM,Two Pointer,2,138,50,C,0,0,0,6,04:01,7,15,20241003165804
2024,RS,1,1,121,BER,P008173,"SPAGNOLO, MATTEO",2FGA,Missed Two Pointer,0,219,483,G,0,0,0,7,03:51,7,15,20241003165815
2024,RS,1,1,129,PAN,P003842,"LESSORT, MATHIAS",FTM,Free Throw In,1,-1,-1, ,0,0,0,7,03:41,7,16,20241003165858
2024,RS,1,1,130,PAN,P003842,"LESSORT, MATHIAS",FTM,Free Throw In,1,-1,-1, ,0,0,0,7,03:41,7,17,20241003165906
2024,RS,1,1,131,BER,P012604,"WILLIAMS , TREVION",3FGA,Missed Three Pointer,0,219,671,I,0,0,0,7,03:26,7,17,20241003165922
2024,RS,1,1,133,PAN,P003842,"LESSORT, MATHIAS",2FGM,Two Pointer,2,-18,12,A,0,0,0,7,03:10,7,19,20241003165939
2024,RS,1,1,134,BER,P008173,"SPAGNOLO, MATTEO",2FGA,Missed Two Pointer,0,150,138,C,0,0,0,7,03:01,7,19,20241003165948
2024,RS,1,1,137,BER,P011934,"WETZELL, YANNI",2FGA,Missed Two Pointer,0,-62,100,B,0,0,0,8,02:57,7,19,20241003165953
2024,RS,1,1,139,PAN,P012774,"NUNN, KENDRICK",3FGA,Missed Three Pointer,0,690,207,I,0,0,0,8,02:44,7,19,20241003170016
2024,RS,1,1,141,BER,P008173,"SPAGNOLO, MATTEO",2FGM,Two Pointer,2,-6,125,B,1,0,0,8,02:35,9,19,20241003170025
2024,RS,1,1,142,PAN,P001926,"SLOUKAS, KOSTAS",2FGA,Missed Two Pointer,0,194,351,E,0,0,0,8,02:22,9,19,20241003170039
2024,RS,1,1,150,BER,P011934,"WETZELL, YANNI",FTM,Free Throw In,1,-1,-1, ,0,0,0,8,02:07,10,19,20241003170127
2024,RS,1,1,152,BER,P011934,"WETZELL, YANNI",FTM,Free Throw In,1,-1,-1, ,0,0,0,8,02:07,11,19,20241003170148
2024,RS,1,1,154,PAN,P002328,"GRIGONIS, MARIUS",3FGM,Three Pointer,3,-112,715,H,0,0,0,9,01:52,11,22,20241003170208
2024,RS,1,1,156,BER,P011934,"WETZELL, YANNI",2FGA,Missed Two Pointer,0,6,144,C,0,0,0,9,01:31,11,22,20241003170229
2024,RS,1,1,158,BER,P011934,"WETZELL, YANNI",2FGM,Two Pointer,2,-31,94,B,0,1,0,9,01:26,13,22,20241003170234
