position,positionChange,gamesPlayed,gamesWon,gamesLost,qualified,winPercentage,pointsDifference,pointsFor,pointsAgainst,homeRecord,awayRecord,neutralRecord,overtimeRecord,lastTenRecord,groupName,last5Form,club.code,club.name,club.abbreviatedName,club.editorialName,club.tvCode,club.isVirtual,club.images.crest
1,Up,5,4,1,False,80%,+30,415,385,3-0,1-1,0-0,1-0,4-1,Regular Season,"['L', 'W', 'W', 'W', 'W']",BAR,FC Barcelona,Barcelona,,BAR,False,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
2,Up,5,4,1,False,80%,+22,376,354,2-0,2-1,0-0,0-0,4-1,Regular Season,"['W', 'L', 'W', 'W', 'W']",ZAL,Zalgiris Kaunas,Zalgiris,,ZAL,False,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
3,Up,5,3,2,False,60%,+22,439,417,3-0,0-2,0-0,0-0,3-2,Regular Season,"['L', 'W', 'L', 'W', 'W']",MAD,Real Madrid,Real,,RMB,False,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
4,Up,5,3,2,False,60%,+22,428,406,1-0,2-2,0-0,0-0,3-2,Regular Season,"['W', 'W', 'L', 'L', 'W']",PAN,Panathinaikos AKTOR Athens,Panathinaikos,,PAO,False,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
5,Up,5,3,2,False,60%,+19,384,365,3-0,0-2,0-0,0-0,3-2,Regular Season,"['W', 'L', 'W', 'L', 'W']",BAS,Baskonia Vitoria-Gasteiz,Baskonia,,BKN,False,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
6,Up,5,3,2,False,60%,+16,432,416,1-1,2-1,0-0,0-0,3-2,Regular Season,"['W', 'L', 'L', 'W', 'W']",IST,Anadolu Efes Istanbul,Anadolu Efes,Efes,EFS,False,https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
7,Down,5,3,2,False,60%,+13,430,417,3-1,0-1,0-0,0-0,3-2,Regular Season,"['W', 'W', 'L', 'W', 'L']",MCO,AS Monaco,Monaco,,ASM,False,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
8,Down,5,3,2,False,60%,+6,390,384,1-1,2-1,0-0,0-1,3-2,Regular Season,"['W', 'W', 'W', 'L', 'L']",RED,Crvena Zvezda Meridianbet Belgrade,Crvena Zvezda,,CZV,False,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
9,Down,5,3,2,False,60%,-1,376,377,1-2,2-0,0-0,0-0,3-2,Regular Season,"['W', 'W', 'L', 'W', 'L']",ULK,Fenerbahce Beko Istanbul,Fenerbahce,,FBB,False,https://media-cdn.incrowdsports.com/0233ebbb-f3a2-49ea-837c-7fd3e661e672.png
10,Up,5,3,2,False,60%,-9,447,456,3-0,0-2,0-0,0-0,3-2,Regular Season,"['W', 'L', 'L', 'W', 'W']",MUN,FC Bayern Munich,Bayern,,BAY,False,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
11,Down,5,2,3,False,40%,+10,403,393,2-0,0-3,0-0,0-0,2-3,Regular Season,"['L', 'W', 'W', 'L', 'L']",OLY,Olympiacos Piraeus,Olympiacos,,OLY,False,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
12,Down,5,2,3,False,40%,+6,414,408,1-1,1-2,0-0,0-0,2-3,Regular Season,"['L', 'L', 'W', 'W', 'L']",PAR,Partizan Mozzart Bet Belgrade,Partizan,,PAR,False,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
13,Up,5,2,3,False,40%,+1,429,428,1-1,1-2,0-0,0-0,2-3,Regular Season,"['L', 'L', 'W', 'L', 'W']",PRS,Paris Basketball,Paris,Paris,PBB,False,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
14,Down,5,2,3,False,40%,-10,407,417,2-0,0-3,0-0,0-0,2-3,Regular Season,"['L', 'W', 'L', 'W', 'L']",ASV,LDLC ASVEL Villeurbanne,ASVEL,,ASV,False,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
15,Down,5,2,3,False,40%,-24,403,427,2-1,0-2,0-0,0-0,2-3,Regular Season,"['W', 'L', 'W', 'L', 'L']",TEL,Maccabi Playtika Tel Aviv,Maccabi,,MTA,False,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
16,Up,5,1,4,False,20%,-29,375,404,0-2,1-2,0-0,0-0,1-4,Regular Season,"['L', 'L', 'L', 'L', 'W']",VIR,Virtus Segafredo Bologna,Virtus,,VIR,False,https://media-cdn.incrowdsports.com/4af5e83b-f2b5-4fba-a87c-1f85837a508a.png
17,Equal,5,1,4,False,20%,-44,393,437,1-2,0-2,0-0,0-0,1-4,Regular Season,"['L', 'W', 'L', 'L', 'L']",MIL,EA7 Emporio Armani Milan,Milan,,EA7,False,https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png
18,Down,5,1,4,False,20%,-50,362,412,1-2,0-2,0-0,0-0,1-4,Regular Season,"['L', 'L', 'W', 'L', 'L']",BER,ALBA Berlin,ALBA,,BER,False,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
