teamRanking,gamesPlayed,effectiveFieldGoalPercentage,trueShootingPercentage,offensiveReboundsPercentage,defensiveReboundsPercentage,reboundsPercentage,assistsToTurnoversRatio,assistsRatio,turnoversRatio,twoPointRate,threePointRate,freeThrowsRate,pointsFromTwoPointersPercentage,pointsFromThreePointersPercentage,pointsFromFreeThrowsPercentage,team.code,team.tvCodes,team.name,team.imageUrl
1,20.0,51.1%,55%,32.2%,70.1%,50.3%,1.1,15.1%,13.2%,52.2%,47.8%,31.8%,42.1%,39.5%,18.4%,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
2,20.0,51.9%,55.1%,30.9%,69.9%,50.2%,1.2,17.8%,14.7%,63.8%,36.2%,25.3%,58.1%,26.8%,15.1%,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
3,19.0,52.4%,56.3%,33%,72.6%,52.1%,1.3,16.2%,12.9%,54.3%,45.7%,27.8%,42.6%,40.2%,17.2%,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.incrowdsports.com/0233ebbb-f3a2-49ea-837c-7fd3e661e672.png
4,20.0,55.6%,59.8%,29.9%,66.9%,49%,1.2,17.3%,14.3%,60.4%,39.6%,34.5%,47.9%,32.9%,19.2%,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
5,20.0,51.2%,55.2%,35.2%,69.2%,52.2%,1.4,16.5%,12.1%,59.6%,40.4%,28%,51.5%,31.1%,17.4%,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
6,19.0,51.5%,55.2%,32.3%,65.4%,48.1%,1.5,14.8%,9.9%,55.8%,44.2%,27.6%,47.8%,35.2%,16.9%,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
7,20.0,52%,56.8%,29.4%,63%,46.2%,1.6,18.4%,11.3%,60.4%,39.6%,33.5%,50.3%,29.4%,20.3%,VIR,VIR,Virtus Segafredo Bologna,https://media-cdn.incrowdsports.com/4af5e83b-f2b5-4fba-a87c-1f85837a508a.png
8,20.0,56%,59.2%,31.2%,66.3%,49%,1.7,19.6%,11.7%,58.3%,41.7%,28.8%,48.8%,35.1%,16.1%,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
9,20.0,53%,57.1%,36.2%,66.8%,51.1%,1.4,17.6%,12.2%,67.2%,32.8%,30.3%,56.6%,25.3%,18%,TEL,MTA,Maccabi Playtika Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
10,20.0,55%,58.9%,31.4%,64.4%,47.8%,1.6,18%,11.1%,60%,40%,29.7%,50%,32.7%,17.3%,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
11,20.0,57.1%,60.6%,31.1%,67.3%,49.1%,1.4,18.3%,13.1%,51.9%,48.1%,23.2%,45.7%,39.8%,14.5%,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
12,20.0,57.2%,60.7%,32.9%,67%,50.8%,1.5,18.1%,12.5%,61.9%,38.1%,27.5%,53.5%,30.5%,16%,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
13,20.0,56.8%,59.6%,29.8%,68.9%,49.7%,1.7,19.8%,11.3%,62.2%,37.8%,22.5%,53.7%,33.1%,13.2%,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
14,20.0,56.2%,59.8%,29%,73.7%,52.4%,1.5,18.6%,12.8%,53.3%,46.7%,28.2%,48%,35.5%,16.5%,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
15,20.0,55.9%,61.2%,28.5%,71.3%,49.5%,1.5,17.8%,11.8%,58%,42%,35.5%,43.6%,35.3%,21.1%,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png
16,20.0,56.3%,60.1%,30%,68.4%,49.1%,1.9,18.6%,10%,64.2%,35.8%,32.5%,53.4%,28.6%,18%,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
17,20.0,57.3%,61.4%,33.3%,67.6%,50.4%,1.8,20.6%,11.4%,57.2%,42.8%,35%,47.1%,33.8%,19.1%,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
18,20.0,59.8%,62.7%,32.8%,71.5%,53%,1.6,18.9%,11.8%,59.4%,40.6%,31.6%,49.5%,34.2%,16.3%,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
