player_age,player_name,assists_per_game,points_per_game
22,"KURUCS, ARTURS",0.7,1.0
29,"ABI, MUSTAFA",0.4,1.7
33,"BOZIC, PETAR",0.8,2.7
34,"SCHULTZE, SVEN",0.4,3.2
24,"MILOSEVIC, STRAHINJA",0.2,1.3
28,"BATUK, BIRKAN",0.3,3.2
28,"FLACCADORI, DIEGO",0.8,2.7
35,"CARRARETTO, MARCO",0.4,2.9
33,"BALBAY, DOGUS",0.9,1.6
24,"MATTISSECK, JONAS",0.7,2.9
31,"BOUNTOURIS, NIKOLAOS",1.1,2.4
25,"KALAITZAKIS, PANAGIOTIS",0.3,2.1
33,"GABINI, ROBERTO",0.3,4.3
34,"VORONOV, EVGENY",0.8,3.7
35,"LAZIC, BRANKO",0.6,3.4
33,"RICCI, GIAMPAOLO",0.3,2.6
31,"KHVOSTOV, DMITRY",1.9,2.6
28,"AGRAVANIS, DIMITRIS",0.3,3.3
32,"ANTONOV, SEMEN",0.5,3.1
36,"TONOLLI, ALESSANDRO",0.5,2.5
34,"MAHMUTOGLU, MELIH",0.4,4.3
29,"STAIGER, LUCCA",0.4,3.9
30,"YILMAZ, ALPER",1.2,2.2
45,"KALAITZIS, GEORGIOS",1.2,3.0
34,"COHEN, JAKE",0.7,2.9
29,"KRASIC, BARISA",0.2,5.1
35,"VIALTSEV, EGOR",0.9,3.7
27,"SCHNEIDER, TIM",0.4,3.8
34,"PONKRASHOV, ANTON",1.4,3.2
32,"OUATTARA, YAKUBA",0.2,4.0
23,"DELOW, MALTE",1.2,3.6
22,"STRAZEL, MATTHEW",1.5,4.2
26,"VRANES, SLAVKO",0.2,2.7
27,"ARCHIBONG, KOKO",0.7,4.0
26,"AKYOL, CENK",0.5,4.1
25,"DIOP, ILIMANE",0.3,3.1
30,"GREEN, YANIV",0.3,3.0
25,"TODOROVIC, MARKO",0.5,2.8
37,"PASHUTIN, ZAKHAR",0.9,3.6
32,"TAYLOR, JEFFERY",0.9,4.6
32,"ZAITCEV, VIACHESLAV",1.4,2.8
28,"KARASEV, SERGEY",0.7,4.3
26,"TRIPKOVIC, UROS",1.1,8.6
25,"DANGUBIC, NEMANJA",0.7,5.1
29,"RABASEDA, XAVIER",0.7,3.9
35,"ONAN, OMER",0.7,6.4
32,"ACIK, TUTKU",1.5,3.8
27,"PAPAMAKARIOS, MANOLIS",1.2,4.4
28,"DUVERIOGLU, AHMET",0.5,3.2
31,"LARENTZAKIS, GIANNOULIS",1.3,5.1
30,"PELEKANOS, MICHALIS",0.6,4.5
25,"STIMAC, ANDREJ",0.6,4.7
30,"DIEZ, DANIEL",0.5,3.2
49,"FAUTHOUX, FREDERIC",1.7,4.7
31,"HARISSIS, CHRISTOS",1.5,5.3
32,"NICHOLS, DEMETRIS",0.4,4.1
35,"GULER, SINAN",1.9,4.8
30,"ZUBKOV, ANDREY",0.8,4.3
32,"DRAPER, DONTAYE",1.8,4.2
40,"SADA, VICTOR",1.9,2.5
34,"CINCIARINI, ANDREA",1.7,3.9
29,"JARAMAZ, OGNJEN",1.3,5.3
41,"PNINI, GUY",1.2,4.7
26,"LANDESBERG, SYLVEN",0.5,6.0
29,"PAPANIKOLAOU, DIMITRIOS",0.6,4.4
27,"ROZIC, MARIN",0.5,5.0
33,"RESS, TOMAS",0.3,3.8
31,"KLIMAVICIUS, TADAS",0.7,4.2
29,"DELININKAITIS, TOMAS",1.3,6.3
27,"VASILOPOULOS, PANAGIOTIS",0.8,5.4
